西	xi	sai1	SEI SAI	서	SE	tây	*sei
二	èr	ji6	NI JI	이	I	nhì	*njì njì
京	jīng	ging1	KYOU KEI KIN	경	KYENG	kinh	giæng
背	bèi	bui3 bui6	HAI	배	PAY PHAY	bối	*bə̀i
邙	máng	mong4	BOU MOU	망	MANG	mương	
面	miàn	min6	MEN BEN	면	MYEN		*miɛ̀n
洛	luò	lok3 lok6	RAKU	낙 락	LAK	rặc	*lɑk
浮	fú	fau4	FU	부	PWU	phù	*bhiou
渭	wèi	wai6	I	위	WI	ngan vây	*hiuə̀i
據	jù	geoi3	KYO KO KEKI	거	KE	cớ	*giù
涇	jīng	ging1	TEI KYOU	경	KYENG	kinh	geng
宮	gōng	gung1	KYUU GUU	궁	KWUNG		*giung
殿	diàn	din3 din6	TEN DEN	전	CEN	điện	*dhèn
盤	pán	pun4	BAN HAN	반	PAN	bàn	*bhɑn bhɑn
鬱	yù	wat1	UTSU	울	WUL		*qiuɛt
樓	lóu	lau4	ROU	누 루	LWU	lầu	*lou
觀	guān	gun1 gun3	KAN	관	KWAN	quan	*guɑn guɑ̀n
飛	fēi	fei1	HI	비	PI	phi	*biəi
驚	jīng	geng1 ging1	KYOU KEI	경	KYENG	kinh	*giæng
圖	tú	tou4	TO ZU	도	TO	đồ	*dho
寫	xiě	se2	SHA	사	SA	tả	*siǎ
禽	qín	kam4	KIN	금	KUM	cầm	*ghyim
獸	shòu	sau3	JUU	수	SWU	thú	*shiòu
畫	huà	waa2 waa6 waak6	KAKU GA KAI	화	HWA HOYK	hoạ	*huɛ̀i huɛk
綵	cǎi	coi2	SAI	채	CHAY		*tsə̌i
仙	xian	sin1	SEN	선	SEN	tiên	*siɛn siɛn
靈	líng	leng4 ling4	REI RYOU	령 영	LYENG	linh	*leng
丙	bǐng	bing2	HEI HYOU	병	PYENG	bính	
舍	shě	se2 se3 se5	SHA SEKI	사	SA	xá	*shià
傍	bàng	bong6 pong4 pong6	BOU HOU	방	PANG PHAYNG	bàng	*bhɑn bhɑn
啟	qǐ	kai2	KEI		KYEY		
甲	jiǎ	gaap3	KOU KAN	갑	KAP	giáp	*gap
帳	zhàng	zoeng3	CHOU	장	CANG	trướng	*djiɑ̀ng
對	duì	deoi3	TAI TSUI	대	TAY	đỗi	*duə̀i
楹	yíng	jing4	EI	영	YENG		iɛng
肆	sì	sei3 si3	SHI	사	SA		sì
筵	yán	jin4	EN	연	YEN		*iɛn
設	shè	cit3	SETSU SECHI	설	SEL	thết	shiɛt
席	xí	zik6	SEKI	석	SEK		*ziɛk
鼓	gǔ	gu2	KO	고	KO		
瑟	sè	sat1	SHITSU	슬	SUL	sắt	*shrit
吹	chuī	ceoi1 ceoi3	SUI	취	CHWI	xuy	*chiuɛ chiuɛ̀
笙	shēng	saang1 sang1	SOU SHOU	생	SAYNG	dấm sênh	*shræng
升	shēng	sing1	SHOU	승	SUNG	thăng	*shiəng
階	jiē	gaai1	KAI	계	KYEY	giai	*gæi
納	nà	naap6	TOU NOU NA	납	NAP	nạp	*nop
陛	bì	bai6	HEI	폐	PHYEY	bệ	bhěi
弁	biàn	bin6 pun4	BEN HEN	변	PYEN PAN		
轉	zhuǎn	zyun2 zyun3	TEN	전	CEN	chuyển	*djiuɛ̌n
疑	yí	ji4	GI KYOU	의	UY UNG		*ngiə
星	xīng	seng1 sing1	SEI SHOU	성	SENG	tinh	*seng
右	yòu	jau6	U YUU	우	WU	hữu	*hiòu
通	tōng	tung1	TS UTSU TOU	통	THONG	thông	*tung
廣	guǎng	gwong2	KOU	광	KWANG	quảng	*guɑ̌ng
內	nèi	naap6 noi6	DAI NAI	내	NAY NAP		*nuə̀i nuə̀i
左	zuǒ	zo2	SA	좌	CWA	tả	tzɑ̌
達	dá	daat6 taat3	TATSU DACHI	달	TAL	đạt	*dhɑt
承	chéng	sing4	SHOU SOU	승	SUNG	thừa	*zhiəng
明	míng	ming4	MEI MYOU	명	MYENG	minh	*miæng
既	jì	gei3	KI		KI		
集	jí	zaap6	SHUU JUU	집	CIP	tập	*dzhip
墳	fén	fan4	FUN	분	PWUN	phần	*bhiən
典	diǎn	din2	TEN	전	CEN	điển	*děn děn
亦	yì	jik6	EKI YAKU	역	YEK		*iɛk iɛk
聚	jù	zeoi6	SHUU SHU JU	취	CHWI	tụ	dzhiò
羣	qún	kwan4	GUN KUN				
英	yīng	jing1	EI	영	YENG	anh	*qiæng
杜	dù	dou6	DO TO ZU	두	TWU	đỗ	*dhǒ
稾	gǎo	gou2	KOU				
鍾	zhōng	zung1	SHOU	종	CONG	chung	*jiong
隸	lì	dai6 lai6	REI I	예	LYEY		
漆	qī	cat1	SHITSU	칠	CHIL		tsit
書	shū	syu1	SHO	서	SE	thư	*shiu
壁	bì	bek3 bik1 bik3	HEKI	벽	PYEK	bích	bek
經	jīng	ging1	KEI KYOU	경	KYENG	kinh	*geng
府	fǔ	fu2	FU	부	PWU	phủ	*biǒ
羅	luó	lo4	RA	나 라	LA	la	*la
將	jiāng	zoeng1 zoeng3	SHOU SOU	장	CANG	tướng	*tziɑng *tziɑ̀ng
相	xiāng	soeng1 soeng3	SHOU SOU	상	SANG	tương	*siɑng *siɑ̀ng
路	lù	lou6	RO	노 로	LO	lộ	*lò
俠	xiá	haap6 hap6	KYOU	협	HYEP KYEP	hiệp	hep
槐	huái	waai4	KAI	괴	KOY	hoè	hiəi huɛi
卿	qīng	hing1	KYOU KEI	경	KYENG	khanh	*kiæng
戶	hù	wu6	KO	호	HO		
封	fēng	fung1	FUU HOU	봉	PONG	phong	biong
八	bā	baat3	HACHI HATSU	팔	PHAL	bát	*bat bat
縣	xiàn	jyun2 jyun4 jyun6	KEN	현	HYEN	huyện	*huèn
家	jiā	gaa1 gu1	KA KE KO	가	KA	gia	*ga
給	gěi	kap1	KYUU KYOU	급	KUP	cấp	gyip
千	qiān	cin1	SEN	천	CHEN	thiên	*tsen
兵	bīng	bing1	HEI HYOU	병	PYENG	binh	*biæng biæng
高	gāo	gou1	KOU	고	KO	cao	*gɑu
冠	guān	gun1 gun3	KAN	관	KWAN	quán	guɑn guɑ̀n
陪	péi	pui4	BAI HAI	배	PAY		bhəi
輦	niǎn	lin5	REN	련 연	LYEN		*liɛ̌n
驅	qū	keoi1	KU KYUU	구	KWU	xúi	*kio
轂	gǔ	guk1	KOKU	곡	KOK		
振	zhèn	zan3	SHIN	진	CIN	chấn	*jìn
纓	yīng	jing1	EI YOU	영	YENG		*qiɛng
世	shì	sai3	SE SEI	세	SEY	thế	*shiɛì shiɛì
祿	lù	luk6	ROKU	녹 록	LOK	lộc	luk
侈	chǐ	ci2	SHI I	치	CHI	xỉ	
富	fù	fu3	FU FUU	부	PWU	phú	*biòu
車	chē	ce1 geoi1	SHA KYO	거 차	CHA KE	xa	*giu chia
駕	jià	gaa3	GA	가	KA	giá	*gà
肥	féi	fei4	HI	비	PI	phì	*bhiəi
輕	qīng	heng1 hing1	KEI KYOU	경	KYENG	khinh	*kiɛng
策	cè	caak3	SAKU	책	CHAYK	sách	*chrɛk
功	gōng	gung1	KOU	공	KONG	công	*gung
茂	mào	mau6	MO BOU	무	MWU		*mòu
實	shí	sat6	JITSU SHITSU	실	SIL	thực	*jhit
勒	lēi	laak6 lak6	ROKU	늑 륵	LUK	lắc	lək
碑	bēi	bei1	HI	비	PI		*byɛ
刻	kè	haak1 hak1	KOKU	각	KAK	khắc	kək
銘	míng	ming4 ming5	MEI MYOU	명	MYENG		meng
磻	pán	pun4	HAN BAN HA	반 번	PAN PEN		
溪	xī	kai1	KEI	계	KYEY	khe	*kei
伊	yī	ji1	I	이	I	y	*qi qi
尹	yǐn	wan5	IN	윤	YUN	doãn	iǔn
佐	zuǒ	zo3	SA	좌	CWA	tá	
時	shí	si4	JI SHI	시	SI	thì	*zhiə
阿	ā	aa2 aa3 aak3 o1	A	아	A OK		qɑ
衡	héng	hang4 waang4	KOU	형	HYENG HOYNG		*hæng
奄	yǎn	jim1 jim2	EN	엄	EM	ăm	
宅	zhái	zaak6	TAKU	댁 택	TAYK THAYK		*djhæk
曲	qū	kuk1	KYOKU	곡	KOK	khúc	*kiok
阜	fù	fau6	FU	부	PWU		bhiǒu
微	wēi	mei4	BI	미	MI	vi	*miəi
旦	dàn	daan3	TAN	단	TAN	đán	dɑ̀n
孰	shú	suk6	JUKU	숙	SWUK		*zhiuk zhiuk
營	yíng	jing4	EI	영	YENG HYENG		*iuɛng iuɛng
桓	huán	wun4	KAN GAN	환	HWAN		huɑn
公	gōng	gung1	KOU	공	KONG	công	*gung gung
匡	kuāng	hong1	KYOU OU	광	KWANG	khuôn	*kiuɑng
合	hé	gap3 hap6	GOU KATSU GATSU	합	HAP KAP	hợp	*hop
濟	jì	zai2 zai3	SAI SEI	제	CEY		tzèi
弱	ruò	joek6	JAKU NYAKU	약	YAK	nhược	njiɑk
扶	fú	fu4	FU HO	부	PWU	phù	*bhio
傾	qīng	king1	KEI	경	KYENG	khuynh	*kiuɛng kiuɛng
綺	qǐ	ji2	KI	기	KI		*kyɛ̌
迴	huí	wui4	KAI E	회	HOY	hồi	*huəi
漢	hàn	hon3	KAN	한	HAN	hán	*xɑ̀n
惠	huì	wai6	KEI E	혜	HYEY	huệ	*huèi
說	shuō	jyut6 seoi3 syut3	SETSU ZEI ETSU	설 세 열	SEL SEY YEL		
感	gǎn	gam2	KAN	감	KAM	cảm	*gǒm
武	wǔ	mou5	BU MU	무	MWU	vũ	*miǒ
丁	dīng	ding1 zaang1 zang1	TEI CHOU TOU	정	CENG	đinh	*deng deng
俊	jùn	zeon3	SHUN	준	CWUN	tuấn	tzuìn
乂	yì	ngaai6	GAI GE	예	YEY	nghệ	
密	mì	mat6	MITSU	밀	MIL	mật	*myit
勿	wù	mat6	BUTSU BOTSU MOCHI	물	MWUL MOL	vật	*miət
多	duō	do1	TA	다	TA	đa	*dɑ
士	shì	si6	SHI JI	사	SA	sĩ	*jrhiə̌
寔	shí	sat6	SHOKU	식	SIK	thực	
寧	níng	ning4	NEI NYOU	녕 령 영	NYENG		*neng neng
晉	jìn	zeon3	SHIN SEN	진	CIN		
楚	chu	co2	SO	초	CHO	sở	*chriǔ
更	gèng	ang1 gaang1 gang1 gang3	KOU	갱 경	KYENG KAYNG	xâu canh	*gæng gæ̀ng
霸	bà	baa3	HAKU HYAKU HA	패	PHAY PAYK	bá	
趙	zhào	ziu6	CHOU	조	CO		*djiɛ̀u
魏	wèi	ngai6	GI	위	WI		*ngiuə̀i
困	kùn	kwan3	KON	곤	KON	khốn	*kuə̀n
橫	héng	waang4 waang6	OU KOU	횡	HOYNG		*huæng guɑ̀ng
假	jiǎ	gaa2 gaa3	KA KE	가	KA HA		gǎ
途	tú	tou4	TO ZU	도	TO	đồ	*dho
滅	miè	mit6	METSU BETSU	멸	MYEL	diệt	*miɛt
虢	guó	gwik1	HOU BOU				guæk
踐	jiàn	cin5 zin6	SEN	천	CHEN		dzhiɛ̌n
土	tǔ	tou2	DO TO	토	THO TWU	thổ	*tǒ
會	huì	kui2 wui2 wui4 wui5 wui6	KAI E	회	HOY KOY	hội	*huɑ̀i
盟	méng	mang4	MEI MOU	맹	MAYNG		
何	hé	ho4 ho6	KA GA	하	HA		*hɑ hɑ
遵	zūn	zeon1 zyun1	JUN SHUN	준	CWUN	tuân	tzuin
約	yuē	joek3	YAKU	약	YAK YO	ước	qiɑk
法	fǎ	faat3	HOU HATSU HOTSU	법	PEP	pháp	*biæp
韓	hán	hon4	KAN	한	HAN		*hɑn
弊	bì	bai6	HEI HETSU	폐	PHYEY	tệ	bhiɛ̀i
煩	fán	faan4	HAN BON	번	PEN	phiền	*bhiæn
刑	xíng	jing4	KEI GYOU	형	HYENG	hình	heng
起	qǐ	hei2	KI	기	KI	khởi	*kiə̌
翦	jiǎn	zin2	SEN	전	CEN		*tziɛ̌n
頗	pō	po1 po2	HA	파	PHA	phở	*pɑ pɑ̌
牧	mù	muk6	BOKU MOKU	목	MOK		*miuk
用	yòng	jung6	YOU	용	YONG	dụng	*iòng
軍	jūn	gwan1	GUN KUN	군	KWUN	quân	*giuən
最	zuì	zeoi3	SAI	최	CHOY	tối	*tzuɑ̀i
精	jīng	zeng1 zing1	SEI SHOU	정	CENG	tinh	*tziɛng
宣	xuān	syun1	SEN	선	SEN	tuyên	*siuɛn
威	wēi	wai1	I	위	WI	uy	*qiuəi
沙	shā	saa1	SA SHA	사	SA	vành sa	*shra
漠	mò	mok6	BAKU	막	MAK	mạc	*mɑk
馳	chí	ci4	CHI JI	치	CHI		*djhiɛ
譽	yù	jyu6	YO	예	YEY	dự	iù
丹	dān	daan1	TAN	단 란	TAN	đam	*dɑn dɑn
青	qīng	ceng1 cing1	SEI SHOU		CHENG	thanh	*tseng
九	jiǔ	gau2	KYUU KU	구	KWU KYU	cửu	*gioǔ gioǔ
州	zhōu	zau1	SHUU SU	주	CWU	châu	*jiou
禹	yǔ	jyu5	U	우	WU	dừng vũ	*hiǒ
跡	jī	zek3 zik1	SEKI SHAKU	적	CEK	tích	*tziɛk
百	bǎi	baak3	HYAKU HAKU	백	PAYK MAYK	vầu bách	*bæk
郡	jùn	gwan6	GUN KUN	군	KWUN	quận	*ghiuə̀n
秦	qín	ceon4	SHIN JIN	진	CIN		*dzhin
并	bìng	bing1 bing3 bing6	HEI HYOU		PYENG		
嶽	yuè	ngok6	GAKU	악	AK		*ngak
宗	zōng	zung1	SHUU SOU	종	CONG	tông	*tzong
恆	héng	hang4	KOU	항	HANG		*həng
岱	dài	doi6	TAI DAI	대	TAY	đồi	dhə̀i
禪	chán	sim3 sim4 sin4 sin6	ZEN SEN	선	SEN		*zhiɛn zhiɛ̀n
主	zhǔ	zyu2	SHU SU	주	CWU	chúa	*jiǒ jiǒ
云	yún	wan4	UN	운	WUN	vân	*hiuən hiuən
亭	tíng	ting4	TEI CHOU CHIN	정	CENG	đình	*dheng dheng
雁	yàn	ngaan6	GAN	안	AN		*ngàn
門	mén	mun4	MON BON	문	MWUN	môn	*mən
紫	zǐ	zi2	SHI	자	CA	tía	*tziɛ̌
塞	sāi	coi3 sak1	SOKU SAI	새 색	SAY SAYK	tắc	*sək *sə̀i
雞	jī	gai1	KEI	계	KYEY		*gei
田	tián	tin4	DEN TEN	전	CEN	điền	*dhen
赤	chì	cek3 cik3	SEKI SHAKU	적	CEK	xích	*chiɛk
城	chéng	seng4 sing4	JOU	성	SENG	thành	*zhiɛng
昆	kūn	gwan1	KON	곤	KON HON	con	guən
池	chí	ci4	CHI TA	지	CI THA	trì	*cjhiɛ
碣	jié	kit3	KETSU	갈	KAL KYEY		ghiæt ghiɛt
石	shí	daam3 sek6	SHAKU SEKI KOKU	석	SEK	thạch	*zhiɛk
鉅	jù	geoi6	KYO	거	KE		ghiǔ
野	yě	je5	YA SHO	야	YA	dã	*iǎ
洞	dòng	dung6	DOU TOU	동 통	TONG THONG	đọng	*dhùng dhung
庭	tíng	ting4	TEI	정	CENG	đình	*dheng
曠	kuàng	kwong3	KOU	광	KWANG	khoảng	*kuɑ̀ng
遠	yuǎn	jyun5 jyun6	EN ON	원	WEN	viễn	*hiuæ̌n
緜	mián	min4	BEN BETSU MEN	면	MYEN		*miɛn
邈	miǎo	miu5 mok6	BAKU MAKU	막	MAK		mak
巖	yán	ngaam4	GAN GEN	암	AM EM	nham	*ngam
岫	xiù	zau6	SHUU YUU	수	SWU		ziòu
杳	yǎo	jiu2 miu5	YOU	묘	MYO YO		*qěu
冥	míng	ming4 ming5	MEI	명	MYENG	minh	meng mèng
治	zhì	ci4 zi6	JI CHI	치	CHI	trị	djhiə djhiə̀ djhì
本	běn	bun2	HON	본	PON	bản	*bə̌n
於	yú	jyu1 wu1	O YO	어	E O	ư	
農	nóng	nung4	NOU DOU	농	NONG	nông	nong
務	wu	mou6	MU	무	MWU	vụ	miò
茲	zī	ci4 zi1	JI SHI	자	CA		*tziə dzhiə
稼	jia	gaa3	KA	가	KA		
穡	sè	sik1	SHOKU	색	SAYK		
俶	chù	cuk1 suk6 tik1	SHUKU TEKI	숙	SWUK CHEK		chiuk
載	zài	zoi2 zoi3	SAI	재	CAY	tải	*tzə̀i *tzə̌i dzhə̀i tzə̀i
南	nán	naam4	NAN DAN	남	NAM	nam	*nom
畝	mǔ	mau5	HO BOU	무	MWU		mǒu
我	wǒ	ngo5	GA	아	A	ngã	*ngɑ̌
藝	yì	ngai6	GEI	예	YEY	nghệ	ngiɛ̀i
黍	shǔ	syu2	SHO	서	SE		shiǔ
稷	jì	zik1	SHOKU	직	CIK		tziək
稅	shuì	seoi3	ZEI DATSU ETSU	세	SEY THAL		
熟	shú	suk6	JUKU	숙	SWUK	thục	*zhiuk
貢	gòng	gung3	KOU KU	공	KONG	cống	*gùng
新	xīn	san1	SHIN	신	SIN	tân	*sin
勸	quàn	hyun3	KAN KEN	권	KWEN	khuyến	*kiuæ̀n
賞	shǎng	soeng2	SHOU	상	SANG	thưởng	*shiɑ̌ng
黜	chù	ceot1 zeot1 zyut6	CHUTSU	출	CHWUL		tjuit
陟	zhì	zik1	CHOKU TOKU	척	CHEK		
孟	mèng	maang6	MOU MYOU MAN	맹	MAYNG MANG	mạnh	*mæ̀ng
軻	kē	o1	KA	가	KA		kɑ kɑ̌
敦	dūn	deoi1 deoi6 deon1	TON DAN CHOU	돈	TON THOY	đôn	duəi
素	sù	sou3	SO SU	소	SO	tố	*sò
史	shǐ	si2	SHI	사	SA	sử	*shriə̌
魚	yú	jyu4	GYO	어	E	ngư	*ngiu
秉	bǐng	bing2	HEI	병	PYENG	bảnh	biæ̌ng
直	zhí	zik6	CHOKU JIKI	직	CIK		*djhiək *djhiə̀
庶	shù	syu3	SHO	서	SE	thứ	shiù
幾	jǐ	gei1 gei2	KI	기	KI		*giə̌i giəi
中	zhōng	zung1 zung3	CHUU	중	CWUNG	trung	*djiùng djiung
庸	yōng	jung4	YOU	용	YONG		iong
勞	láo	lou4 lou6	ROU	노 로	LO	lao	*lɑu lɑ̀u
謙	qiān	him1	KEN	겸	KYEM	khiêm	kem
謹	jǐn	gan2	KIN	근	KUN	cẩn	
敕	chì	cik1	CHOKU	칙	CHIK	sắc	tjiək
聆	líng	ling4	REI RYOU	령 영	LYENG		leng
音	yīn	jam1	ON IN	음	UM	âm	*qyim
察	chá	caat3	SATSU SECHI	찰	CHAL	sát	
理	lǐ	lei5	RI	리 이	LI	lí	*liə̌
鑑	jiàn	gaam3	KAN	감	KAM		
貌	mào	maau6	BOU BAKU	모	MO MAK		mak màu
辨	biàn	bin6	BEN HEN	변	PYEN	biện	
色	sè	sik1	SHOKU SHIKI	색	SAYK	sắc	*shriək
貽	yí	ji4	I	이	I		iə
厥	jué	kyut3	KETSU KUTSU	궐	KWEL KWUL		giuæt
嘉	jiā	gaa1	KA	가	KA		ga
猷	yóu	jau4	YUU	유	YU		iou
勉	miǎn	min5	BEN	면	MYEN	miễn	myɛ̌n
其	qí	gei1 kei4	KI GI	기	KI	kì	*ghiə ghiə
祗	zhī	zi1	SHI	지	CI		*jiɛ̌
植	zhí	zik6	SHOKU CHI	식	SIK CHI	thực	djhiə̀
省	shěng	saang2 sing2	SEI SHOU	생 성	SENG SAYNG	tỉnh	*shræ̌ng siɛ̌ng
躬	gōng	gung1	KYUU	궁	KWUNG	cung	giung
譏	jī	gei1	KI	기	KI		giəi
誡	jiè	gaai3	KAI	계	KYEY		
寵	chǒng	cung2	CHOU	총	CHONG	sủng	*tjiǒng
增	zēng	zang1	ZOU SOU	증	CUNG	tăng	*tzəng
抗	kàng	kong3	KOU	항	HANG	kháng	kɑ̀ng
極	jí	gik6	GOKU KYOKU GOKI	극	KUK	cực	*ghiək
殆	dài	doi6 toi5	TAI	태	THAY		
辱	rǔ	juk6	JOKU NIKU	욕	YOK	nhọc	njiok
近	jìn	gan6 kan5	KIN KON	근	KUN	cận	*ghiə̌n
恥	chǐ	ci2	CHI	치	CHI		*tjiə̌
林	lín	lam4	RIN	림 임	LIM	lâm	*lim
皋	gāo	gou1	KOU	고	KO	đậu cau	gɑu
幸	xìng	hang6	KOU	행	HAYNG		hɛ̌ng
即	jí	zik1	SOKU SHOKU	즉	CUK	tức	
兩	liǎng	loeng5	RYOU	량 양	LYANG	lưỡng	liɑ̀ng liɑ̌ng
疏	shū	so1 so3	SO SHO	소	SO	sớ	*shriu shriù
見	jiàn	gin3 jin6	KEN	견 현	KYEN HYEN	kiến	*gèn
機	jī	gei1	KI	기	KI	cơ	*giəi
解	jiě	gaai2 gaai3 haai6	KAI GE	해	HAY KAY	giải	*gɛ̌i
組	zǔ	zou2	SO SHO	조	CO	tổ	tzǒ
誰	shuí	seoi4	SUI	수	SWU		*zhui
逼	bī	bik1	HITSU HYOKU	핍	PHIP	bức	biək
索	suǒ	saak3 sok3 suk3	SAKU	삭 색	SAYK SAK	sách	shræk shrɛk sɑk
居	jū	geoi1	KYO KI	거	KE KI	cư	giu
閒	xián	gaan1 gaan3 haan4		한	HAN KAN		*gɛn *hɛn
處	chù	cyu2 cyu3 syu3	SHO	처	CHE	xử	*chiù *chiǔ
沈	chén	cam4 sam2	CHIN JIN SHIN	심 침	CHIM SIM	đắm	*djhim shǐm
默	mò	mak6	MOKU	묵	MWUK	mặc	*mək
寂	jì	zik6	JAKU SEKI	적	CEK	tịch	*dzhek
寥	liáo	liu4	RYOU	요	LYO		*leu
求	qiú	kau4	KYUU	구	KWU	cầu	*ghiou
古	gǔ	gu2	KO	고	KO	cổ	*gǒ
尋	xún	cam4	JIN	심	SIM	tầm	*zim
論	lùn	leon4 leon6	RON RIN	논 론	LON YUN	luận	*luən luin luə̀n
散	sàn	saan2 saan3	SAN	산	SAN	tản	*sɑ̀n
慮	lǜ	leoi6	RYO ROKU	려	LYE	lự	liù
逍	xiāo	siu1	SHOU	소	SO		siɛu
遙	yáo	jiu4	YOU	요	YO	diêu	*iɛu
欣	xīn	jan1	GON KIN KON	흔	HUN	hân	xiən
奏	zòu	zau3	SOU	주	CWU	tấu	tzòu
累	lèi	leoi4 leoi5 leoi6	RUI	누 루	LWU	luỵ	liuɛ̀ liuɛ̌
遣	qiǎn	hin2	KEN	견	KYEN	khiến	*kiɛ̌n
慼	qī	cik1	SEKI SHAKU SHUKU		CHEK	thích	
謝	xiè	ze6	SHA JA	사	SA	tạ	*zià
歡	huan	fun1	KAN	환	HWAN	hoan	*xuɑn
招	zhāo	ziu1	SHOU KYOU	초	CHO KYO	chiêu	*jiɛu
渠	qú	keoi4	KYO	거	KE	cừ	ghio
荷	hé	ho4 ho6	KA	하	HA		hɑ hɑ̌
的	de	di1 dik1	TEKI	적	CEK	đích	dek
歷	lì	lik6		력 역	LYEK	lịch	*lek
園	yuán	jyun4	EN ON	원	WEN	viên	*hiuəi
莽	mǎng	mong5	BOU MOU	망	MANG		*mɑ̌ng
抽	chōu	cau1	CHUU	추	CHWU	trừu	*tjiou
條	tiáo	tiu4 tiu5	JOU CHOU DEKI	조	CO	điều	*dheu
枇	pí	pei4	HI BI	비	PI		
杷	pá	paa4	HA	파	PHA		bha
晚	wǎn	maan5	BAN		MAN	vãn	*miæ̌n
翠	cuì	ceoi3	SUI	취	CHWI	thuý	*tsuì
梧	wú	ng4	GO	오	O		*ngo
桐	tóng	tung4	DOU TOU	동	TONG		*dhung
早	zǎo	zou2	SOU SATSU	조	CO	tảo	*tzɑ̌u
凋	diāo	diu1	CHOU	조	CO		*deu deu
陳	chén	can4 zan6	CHIN JIN	진	CIN	trần	*djhin
根	gēn	gan1	KON	근	KUN	căn	*gən
委	wěi	wai1 wai2	I	위	WI	uỷ	*gyuɛ gyuɛ̌
翳	yì	ai3 ji1	EI	예	YEY		qèi
落	luò	laai6 lok6	RAKU	낙 락	LAK	lạc	*lɑk
葉	yè	jip6 sip3	YOU SHOU	섭 엽	YEP SEP	diệp	*iɛp
飄	piāo	piu1	HYOU	표	PHYO	phiêu	*piɛu
颻	yáo	jiu4	YOU				iɛu
遊	yóu	jau4	YUU YU	유	YU	du	*iou
鵾	kūn		KON UN	곤	KON		
獨	dú	duk6	DOKU TOKU	독	TOK	độc	*dhuk
運	yùn	wan6	UN	운	WUN	vận	*hiuə̀n
凌	líng	ling4	RYOU	능 릉	LUNG	lăng	*liəng
摩	mó	mo1	MA	마	MA		*mɑ
絳	jiàng	gong3	KOU	강	KANG		gàng
霄	xiāo	siu1	SHOU	소	SO		*siɛu
耽	dān	daam1	TAN	탐	THAM	xẩm	dom
讀	dú	dau6 duk6	TOKU TOU DOKU	독 두	TOK TWU	độc	*dhuk
翫	wán	wun6	GAN	완	WAN		nguɑ̀n
市	shì	si5	SHI	시	SI	thị	*zhiə̌
寓	yù	jyu6	GUU GYO	우	WU	ngụ	ngiǒ
目	mù	muk6	MOKU BOKU	목	MOK	mục	*miuk
囊	náng	nong4	NOU	낭	NANG		*nɑng
箱	xiāng	soeng1	SHOU SOU	상	SANG	rương	siɑng
易	yì	ji6 jik6	EKI I	역 이	YEK I	dịch	*iɛ̀ iɛk
輶	yóu	jau4	YUU YU				
攸	yōu	jau4	YUU	유	YU		iou
畏	wèi	wai3	I	외	OY	uý	*qiuə̀i
屬	shǔ	suk6 zuk1	ZOKU SHOKU SHU	속	SOK CHOK	thuộc	*jiok zhiok
耳	ěr	ji5	JI JOU	이	I	nhĩ	*njiə̌
垣	yuán	wun4	EN	원	WEN		hiuæn
墻	qiáng	coeng4	SHOU	장	CANG	tường	
具	jù	geoi6	GU KU	구	KWU	cụ	*ghiò ghiò
膳	shàn	sin6	SEN ZEN	선	SEN		zhiɛ̀n
飡	cān	caan1	SAN SON	손	SON		*tsɑn
飯	fàn	faan6	HAN BON	반	PAN		bhiæ̀n bhiæ̌n
適	shì	dik1 sik1	TEKI SEKI	적	CEK CHEK	thích	*shiɛk
口	kǒu	hau2	KOU KU	구	KWU	khẩu	*kǒu
充	chōng	cung1	JUU SHUU	충	CHWUNG	sung	chiung
腸	cháng	coeng4	CHOU	장	CANG		*djhiɑng
飽	bǎo	baau2	HOU	포	PHO		bǎu
飫	yù	jyu3	YO O	어	E		qiù
烹	pēng	paang1	HOU	팽	PHAYNG	phanh	pæng
宰	zǎi	zoi2	SAI	재	CAY	tể	*tzə̌i tzə̌i
飢	jī	gei1	KI	기	KI	cơ	*gyi giəi
厭	yàn	jim1 jim3	EN OU YOU	염	YEM YEP	ướm	*qiɛ̀m
糟	zāo	zou1	SOU	조	CO		tzɑu
糠	kāng	hong1	KOU	강	KANG		
親	qīn	can1 can3	SHIN	친	CHIN	thân	*tsin
戚	qi	cik1	SEKI SOKU	척	CHEK	thích	tsek
故	gù	gu3	KO	고	KO	cố	*gò
舊	jiù	gau6	KYUU	구	KWU		*ghiòu
老	lǎo	lou5	ROU	노 로	LO	lão	*lɑ̌u
少	shǎo	siu2 siu3	SHOU	소	SO	thiểu	*shiɛ̀u *shiɛ̌u
異	yì	ji6	I	리 이	I		*iə̀
糧	liáng	loeng4	RYOU ROU	량 양	LYANG	lương	liɑng
妾	qiè	cip3	SHOU	첩	CHEP	thiếp	*tsziɛp
御	yù	jyu6 ngaa6	GYO GO	어	E A	ngự	*ngiù
績	jī	zek3 zik1	SEKI	적	CEK	tích	
紡	fǎng	fong2	BOU HOU	방	PANG	vưởng	
侍	shì	si6	JI	시	SI		*zhiə̀ zhiə̌
巾	jīn	gan1	KIN	건	KEN	cân	*gin
帷	wéi	wai4	I	유	YU		hyui
房	fáng	fong2 fong4	BOU HOU	방	PANG	phòng	*bhiɑng
紈	wán	jyun4	KAN GAN	환	HWAN		huɑn
扇	shàn	sin3	SEN	선	SEN	phiến	*shiɛ̀n
圓	yuán	jyun4	EN	원	WEN	viên	*hyuɛn
潔	jié	git3	KETSU	결	KYEL	khiết	get
