乃	nǎi	naai5 oi2	DAI AI NAI	내	NAY	nải	*nəǐ nəǐ
服	fú	fuk6	FUKU	복	POK	phục	*bhiuk
衣	yī	ji1 ji3	I E	의	UY	y	*qiəi qièi
裳	shang	soeng4	SHOU	상	SANG		*zhiɑng
推	tuī	ceoi1 teoi1	SUI	추	CHWU THOY	suy	tuəi
位	wèi	wai2 wai6	I	위	WI	vị	hyuɛ̀
讓	ràng	joeng6	JOU	양	YANG	nhường	*njiɑ̀ng
國	guó	gwok3	KOKU	국	KWUK	quốc	*guək
有	yǒu	jau5 jau6	YUU U	유	YU	hữu	*hiǒu
虞	yú	jyu4	GU	우	WU		*ngio
陶	táo	jiu4 tou4	TOU YOU	도	TO YO		*dhɑu
唐	táng	tong4	TOU	당	TANG	đường	dhɑng
弔	diào	diu3	CHOU TEKI	조	CO CEK	điếu	*dèu
民	mín	man4	MIN	민	MIN	dân	min
伐	fá	fat6	BATSU	벌	PEL	phạt	*bhiæt bhiæt
罪	zuì	zeoi6	ZAI SAI	죄	COY	tội	dzhuə̌i
周	zhōu	zau1	SHUU	주	CWU	chu	*jiou
發	fā	faat3	HOTSU HATSU	발	PAL	phát	*biæt
殷	yīn	jan1 jan2 jin1	IN AN	은	UN AN	ân	*qiən qiə̌n qɛn
湯	tāng	soeng1 tong1	TOU SHOU	탕	THANG SANG	thang	tɑng
坐	zuò	co5 zo6	ZA	좌	CWA		*dzhuɑ̀ *dzhuɑ̌
朝	cháo	ciu4 ziu1	CHOU	조	CO	triều	*djhiɛu *djiɛu
問	wèn	man6	MON BUN	문	MWUN		*miə̀n
道	dào	dou3 dou6	DOU TOU	도	TO	đạo	*dhɑ̀u *dhɑ̌u
垂	chuí	seoi4	SUI	수	SWU	thùy	*zhiuɛ
拱	gǒng	gung2	KYOU	공	KONG	cõng	*giǒng
平	píng	peng4 ping4	HEI HYOU BEN	평	PHYENG PHYEN	bình	*bhiæng
章	zhāng	zoeng1	SHOU	장	CANG	chương	*jiɑng
愛	ài	ngoi3 oi3	AI	애	AY		*qə̀i
育	yù	juk6	IKU	육	YUK	dục	iuk
黎	lí	lai4	REI RI	려 여	LYE	lê	lei
首	shǒu	sau2	SHU SHUU	수	SWU	thủ	*shiǒu
臣	chén	san4	SHIN JIN	신	SIN	thần	*zhin
伏	fú	buk6 fuk6	FUKU FUU BUKU	복	POK PWU PWUK	phục	*bhiuk bhiuk
戎	róng	jung4	JUU	융	YUNG	nhung	*njiung
羌	qiāng	goeng1	KYOU	강	KANG		*kiɑng
遐	xiá	haa4	KA	하	HA		ha
邇	ěr	ji5	JI NI	이	I		
壹	yī	jat1 jik1	ICHI ITSU	일	IL	nhất	qit
體	tǐ	tai2	TEI TAI	체	CHEY	thể	*těi
率	lǜ	leot6 seot1	RITSU SOTSU	률 솔 율	SOL LYUL		luì shruit
賓	bīn	ban1	HIN	빈	PIN	tân	*bin
歸	guī	gwai1	KI GI	귀	KWI KWEY		*giuəi
王	wáng	wong4 wong6	OU	왕	WANG	vương	*hiuɑng hiuɑ̀ng
鳴	míng	ming4	MEI	명	MYENG		*miæng
鳳	fèng	fung6	HOU FUU	봉	PONG	phượng	*bhiùng
在	zài	zoi6	ZAI	재	CAY	tại	*dzhə̌i
樹	shù	syu6	JU	수	SWU	thụ	*zhiò *zhiǒ
白	bái	baak6	HAKU BYAKU	백	PAYK PAY	bạch	*bhæk
駒	jū	keoi1	KU	구	KWU	câu	qio
食	shí	ji6 sik6 zi6	SHOKU SHI JIKI	식	SIK SA		*jhiək
場	chǎng	coeng4	JOU	장	CANG	trường	*djhiɑng
化	huà	faa3	KA KE	화	HWA	hoá	*xuɑ̀
被	bèi	bei6 pei1 pei5	HI	피	PHI	bị	*bhyɛ̌
草	cǎo	cou2	SOU	초	CHO	thảo	*tsɑ̌u
木	mù	muk6	BOKU MOKU	목	MOK MO	mộc	*muk
賴	lài	laai6	RAI	뢰	LOY		*lɑ̀i
及	jí	gap6 kap6	KYUU	급	KUP	cập	*ghyip
萬	wàn	maan6	MAN	만	MAN	vạn	*miæ̀n
方	fāng	fong1	HOU	방	PANG	phương	*biɑng
蓋	gài	gap3 goi3 hap6 koi3	GAI KOU KAI	개	KAY HAP	cái	*gɑ̀i
此	cǐ	ci2	SHI	차	CHA	thử	*tsiɛ̌
身	shēn	gyun1 san1	SHIN KEN	신	SIN	thân	*shin
髮	fà	faat3	HATSU	발	PAL		*biæt
四	sì	sei3 si3	SHI	사	SA	tứ	*sì
大	dà	daai6	TAI DAI TA	대	TAY THAY	đại	*dhɑ̀i
五	wǔ	ng5	GO	오	O	ngũ	*ngǒ ngǒ
常	cháng	soeng4	JOU SHOU	상	SANG	thường	*zhiɑng
恭	gōng	gung1	KYOU	공	KONG	cung	giung
惟	wéi	wai4	I YUI BI	유	YU		*ui ui
鞠	jū	guk1	KIKU KYOU	국	KWUK	cúc	giuk
養	yǎng	joeng5 joeng6	YOU	양	YANG	dưỡng	*iɑ̌ng
豈	qǐ	hei2 hoi2	KI GAI KAI	개 기	KAY KI		*kiə̌i
敢	gǎn	gam2	KAN	감	KAM	cám	*gɑ̌m
毀	huǐ	wai2	KI		HWEY	huỷ	
傷	shāng	soeng1	SHOU	상	SANG	thương	*shiɑng shiɑng
女	nǚ	jyu5 neoi5 neoi6	JO NYO NYOU	녀 여	NYE	nữa	*niǔ *njiǔ
慕	mù	mou6	BO	모	MO	mộ	mò
貞	zhēn	zing1	TEI JOU	정	CENG	trinh	djiɛng
絜	jié	git3	KETSU KECHI KEI KATSU	혈	HYEL		
男	nán	naam4	DAN NAN	남	NAM	nam	*nom
效	xiào	haau6	KOU	효	HYO	hiệu	hàu
才	cái	coi4	SAI ZAI	재	CAY	tài	*dzhəi
良	liáng	loeng4	RYOU	량 양	LYANG	lương	liɑng
知	zhī	zi1 zi3	CHI	지	CI	tri	*djiɛ
過	guò	gwo1 gwo3	KA	과	KWA	quá	*guɑ guɑ̀
必	bì	bit1	HITSU	필	PHIL	tất	*bit
改	gǎi	goi2	KAI	개	KAY		*gə̌i
得	de	dak1	TOKU	득	TUK	đắc	*dək
能	néng	nang4	NOU DAI	능	NUNG NAY	năng	*nəng
莫	mò	mok6 mou6	BO BAKU MAKU	막	MAK MO	mạc	*mɑk
忘	wàng	mong4	BOU	망	MANG	vong	*miɑng miɑ̀ng
罔	wǎng	mong5	BOU MOU	망	MANG	vóng	
談	tán	taam4	DAN TAN	담	TAM	đàm	dhɑm
